Fullname: Hlxwguebsc Nmlpvkaf, Faculty: Graduate School of Business, Group: Group288, Avg Grade: 0
Fullname: Srfomihe Gvlortpkbi, Faculty: Faculty of Computer Science, Group: Group218, Avg Grade: 0
Fullname: Ytjkvlmre Ozuvcij, Faculty: Faculty of Social Sciences, Group: Group288, Avg Grade: 0
Fullname: Ikbzne Xrsgnvipz, Faculty: Faculty of Law, Group: Group217, Avg Grade: 0
Fullname: Jelszy Ycjeid, Faculty: Faculty of Geography and Geo-information Technology, Group: Group213, Avg Grade: 0
Fullname: Wvkoqyu Flankdqe, Faculty: Faculty of Social Sciences, Group: Group212, Avg Grade: 0
Fullname: Rpsfymj Tyxkrvha, Faculty: Faculty of Computer Science, Group: Group215, Avg Grade: 0
Fullname: Gtjyehkpuw Blkgw, Faculty: Faculty of Computer Science, Group: Group213, Avg Grade: 0
Fullname: Kohziq Esdixrtk, Faculty: Faculty of Humanities, Group: Group244, Avg Grade: 0
Fullname: Mtbdfxvakc Qatzsoxhib, Faculty: Faculty of Urban and Regional Development, Group: Group288, Avg Grade: 0
Fullname: Anbzfylsk Bckqwifjyr, Faculty: Faculty of Creative Industries, Group: Group218, Avg Grade: 0
Fullname: Xkoifp Sbraihzkp, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 0
Fullname: Ejgrbcon Sbwmny, Faculty: Pre-university training faculty, Group: Group212, Avg Grade: 0
Fullname: Fajuimn Ynaxch, Faculty: Pre-university training faculty, Group: Group215, Avg Grade: 0
Fullname: Sqxorf Scerhz, Faculty: Faculty of World Economy and World Politics, Group: Group218, Avg Grade: 0
Fullname: Uqcky Uetmwp, Faculty: Faculty of Urban and Regional Development, Group: Group219, Avg Grade: 0
Fullname: Pyzgwuh Jmixsgqkp, Faculty: Faculty of Chemistry, Group: Group288, Avg Grade: 0
Fullname: Ljpmw Zuqrvhijeb, Faculty: Faculty of Mathematics, Group: Group213, Avg Grade: 0
Fullname: Qjtnymi Ogxmiely, Faculty: Faculty of Mathematics, Group: Group233, Avg Grade: 0
Fullname: Osabeclvg Bwuzasd, Faculty: Faculty of Social Sciences, Group: Group219, Avg Grade: 0
Fullname: Bpnjxyfa Zxvtsgihj, Faculty: School of Foreign Languages, Group: Group215, Avg Grade: 0
Fullname: Cokpy Nrlcvgpdtu, Faculty: Graduate School of Business, Group: Group217, Avg Grade: 0
Fullname: Bkacxudi Tifsyqpd, Faculty: Faculty of Chemistry, Group: Group218, Avg Grade: 0
Fullname: Jmboens Qtzjahrx, Faculty: School of Foreign Languages, Group: Group288, Avg Grade: 0
Fullname: Yzicmjb Rmdnlzx, Faculty: International Institute of Economics and Finance, Group: Group219, Avg Grade: 0
Fullname: Rwzelhuvgd Tapslo, Faculty: Faculty of Law, Group: Group221, Avg Grade: 0
Fullname: Twujz Bfjstae, Faculty: Faculty of Economic Sciences, Group: Group288, Avg Grade: 0
Fullname: Jedtfhoikm Vnlqufepgr, Faculty: Faculty of Computer Science, Group: Group215, Avg Grade: 0
Fullname: Qclsaxht Rokuszjty, Faculty: Faculty of Economic Sciences, Group: Group219, Avg Grade: 0
Fullname: Cshbfjwuqg Tvzpeog, Faculty: Faculty of Law, Group: Group217, Avg Grade: 0
Fullname: Kcvaowfu Zlyxsw, Faculty: International Institute of Economics and Finance, Group: Group218, Avg Grade: 0
Fullname: Ruiby Oyisq, Faculty: Faculty of Biology and Biotechnology, Group: Group212, Avg Grade: 0
Fullname: Qkcfzh Pxtuwq, Faculty: Faculty of Physics, Group: Group221, Avg Grade: 0
Fullname: Fduozk Mrcwe, Faculty: Faculty of Urban and Regional Development, Group: Group219, Avg Grade: 0
Fullname: Wfksazudo Yjbxuep, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group212, Avg Grade: 0
Fullname: Xvpjrd Fzmyq, Faculty: Higher School of Jurisprudence and Administration, Group: Group213, Avg Grade: 0
Fullname: Obydfgh Hicfzkvx, Faculty: School of Foreign Languages, Group: Group233, Avg Grade: 0
Fullname: Shgqtdb Zwaekr, Faculty: Faculty of Law, Group: Group215, Avg Grade: 0
Fullname: Hdvfjmcux Iyotjwkr, Faculty: Pre-university training faculty, Group: Group244, Avg Grade: 0
Fullname: Gjqvfh Uwznoefshr, Faculty: Faculty of Creative Industries, Group: Group215, Avg Grade: 0
Fullname: Rpdwuzc Nxitzqcsl, Faculty: Faculty of World Economy and World Politics, Group: Group219, Avg Grade: 0
Fullname: Aiyevr Crtqfh, Faculty: International Institute of Economics and Finance, Group: Group221, Avg Grade: 0
Fullname: Yfndqh Frcpdmtyj, Faculty: Faculty of Chemistry, Group: Group288, Avg Grade: 0
Fullname: Dhocgb Vsjknc, Faculty: Lyceum of HSE, Group: Group244, Avg Grade: 0
Fullname: Jvbpzxksqn Dsfuzvnj, Faculty: Faculty of Economic Sciences, Group: Group218, Avg Grade: 0
Fullname: Rqfnui Ihdvgntr, Faculty: Higher School of Jurisprudence and Administration, Group: Group288, Avg Grade: 0
Fullname: Yrclguf Duasnkxpzb, Faculty: Faculty of Creative Industries, Group: Group219, Avg Grade: 0
Fullname: Zciauqe Djcoplrnx, Faculty: Faculty of Social Sciences, Group: Group233, Avg Grade: 0
Fullname: Txlmzn Izvhaoeqw, Faculty: Faculty of Mathematics, Group: Group212, Avg Grade: 0
Fullname: Prwihsxml Lsakvmiqdz, Faculty: Faculty of Mathematics, Group: Group221, Avg Grade: 0
Fullname: Eftrn Pgmaysbnco, Faculty: Lyceum of HSE, Group: Group221, Avg Grade: 0
Fullname: Zmfehkds Vfqzcu, Faculty: Graduate School of Business, Group: Group218, Avg Grade: 0
Fullname: Ioeha Laumzvnqdx, Faculty: Faculty of Social Sciences, Group: Group217, Avg Grade: 0
Fullname: Oeypbmunzk Krpwgd, Faculty: International Institute of Economics and Finance, Group: Group233, Avg Grade: 0
Fullname: Abopmscnj Uhxcitwe, Faculty: Faculty of World Economy and World Politics, Group: Group219, Avg Grade: 0
Fullname: Jrfzkycvxu Ckpyqjevg, Faculty: Faculty of World Economy and World Politics, Group: Group219, Avg Grade: 0
Fullname: Lpdnbrmyfq Ruygtwmf, Faculty: Faculty of Law, Group: Group218, Avg Grade: 0
Fullname: Jfwhl Dfjyq, Faculty: Higher School of Jurisprudence and Administration, Group: Group219, Avg Grade: 0
Fullname: Hzylfxktm Xfazbo, Faculty: Faculty of Humanities, Group: Group212, Avg Grade: 0
Fullname: Kgtqecbrzn Kavnxtrjm, Faculty: Faculty of Physics, Group: Group218, Avg Grade: 0
Fullname: Kjyzives Kfaop, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group212, Avg Grade: 0
Fullname: Upswjlaxrf Jaemv, Faculty: Faculty of Mathematics, Group: Group217, Avg Grade: 0
Fullname: Chszjxot Ywuqbav, Faculty: Faculty of Geography and Geo-information Technology, Group: Group221, Avg Grade: 0
Fullname: Jikngmop Syurgphbja, Faculty: Faculty of Urban and Regional Development, Group: Group212, Avg Grade: 0
Fullname: Ixkvh Uhfaqyi, Faculty: Faculty of Geography and Geo-information Technology, Group: Group233, Avg Grade: 0
Fullname: Frvgkbha Irtujghm, Faculty: Graduate School of Business, Group: Group244, Avg Grade: 0
Fullname: Lxjivsfug Civqxrof, Faculty: Pre-university training faculty, Group: Group212, Avg Grade: 0
Fullname: Uosvpc Yabiso, Faculty: Faculty of Geography and Geo-information Technology, Group: Group233, Avg Grade: 0
Fullname: Zfqalxheb Nkfoytr, Faculty: Faculty of Geography and Geo-information Technology, Group: Group215, Avg Grade: 0
Fullname: Boirgjlsh Hdcwxorzak, Faculty: Faculty of Computer Science, Group: Group219, Avg Grade: 0
Fullname: Oljahfwsdm Bqkpzjudoi, Faculty: Lyceum of HSE, Group: Group233, Avg Grade: 0
Fullname: Pajcwd Smnqczhtki, Faculty: Faculty of Urban and Regional Development, Group: Group244, Avg Grade: 0
Fullname: Jhsqdkbtu Anyhu, Faculty: Faculty of Chemistry, Group: Group218, Avg Grade: 0
Fullname: Wmkde Czpotr, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group288, Avg Grade: 0
Fullname: Zawdgtuv Phmulryb, Faculty: International Institute of Economics and Finance, Group: Group219, Avg Grade: 0
Fullname: Pyavi Hydqne, Faculty: Faculty of Economic Sciences, Group: Group217, Avg Grade: 0
Fullname: Mpftdw Htmvkc, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group218, Avg Grade: 0
Fullname: Tuyweskh Zwqxufjsh, Faculty: Faculty of Physics, Group: Group212, Avg Grade: 0
Fullname: Wjrnmv Jwiscmxhuo, Faculty: Faculty of Physics, Group: Group212, Avg Grade: 0
Fullname: Nzilp Wexvhjpkb, Faculty: Faculty of Chemistry, Group: Group217, Avg Grade: 0
Fullname: Mnrvqz Wavnzyuoi, Faculty: Faculty of Chemistry, Group: Group218, Avg Grade: 0
Fullname: Dfoshnwb Mnaiwf, Faculty: Faculty of Urban and Regional Development, Group: Group215, Avg Grade: 0
Fullname: Tubdzvgqe Vygsxlo, Faculty: Faculty of Humanities, Group: Group221, Avg Grade: 0
Fullname: Nimhbf Hqvcbsmgo, Faculty: International Institute of Economics and Finance, Group: Group288, Avg Grade: 0
Fullname: Vkiwembra Xyuvemi, Faculty: Faculty of Chemistry, Group: Group221, Avg Grade: 0
Fullname: Edvwylcxm Derax, Faculty: Faculty of Physics, Group: Group218, Avg Grade: 0
Fullname: Oricghadjw Ztvya, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 0
Fullname: Xnveaorgi Zpetbaosn, Faculty: Faculty of World Economy and World Politics, Group: Group221, Avg Grade: 0
Fullname: Uctshyvi Yfagpnwmxo, Faculty: Faculty of Urban and Regional Development, Group: Group221, Avg Grade: 0
Fullname: Oqhuk Vpuzcatsg, Faculty: Pre-university training faculty, Group: Group221, Avg Grade: 0
Fullname: Kqznj Wvmfq, Faculty: Pre-university training faculty, Group: Group219, Avg Grade: 0
Fullname: Dglnrx Kdmvqox, Faculty: Faculty of World Economy and World Politics, Group: Group219, Avg Grade: 0
Fullname: Gcavdms Ypfix, Faculty: Faculty of Mathematics, Group: Group217, Avg Grade: 0
Fullname: Khbef Mbndzh, Faculty: Faculty of Creative Industries, Group: Group217, Avg Grade: 0
Fullname: Gjfvh Rtagnm, Faculty: Faculty of Physics, Group: Group215, Avg Grade: 0
Fullname: Rjnqchde Tfkqv, Faculty: Faculty of Geography and Geo-information Technology, Group: Group217, Avg Grade: 0
Fullname: Bvxei Swyqeilc, Faculty: School of Foreign Languages, Group: Group217, Avg Grade: 0
Fullname: Pljym Tarqsy, Faculty: Faculty of Physics, Group: Group217, Avg Grade: 0
Fullname: Kfjvurba Bucxdkrhzf, Faculty: Faculty of Social Sciences, Group: Group219, Avg Grade: 0
Fullname: Hzqoxif Ubwnx, Faculty: Faculty of Humanities, Group: Group288, Avg Grade: 0
Fullname: Zwkuynrxqs Pbvyj, Faculty: Graduate School of Business, Group: Group212, Avg Grade: 0
Fullname: Bqydenruc Kqfzlgven, Faculty: Faculty of Law, Group: Group215, Avg Grade: 0
Fullname: Lmthsd Fkebsl, Faculty: School of Foreign Languages, Group: Group213, Avg Grade: 0
Fullname: Kdrezwx Pmzjr, Faculty: Faculty of Physics, Group: Group233, Avg Grade: 0
Fullname: Klxmb Lcvjgtqf, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 0
Fullname: Gvdpiuxlqe Bnrfjw, Faculty: Faculty of Mathematics, Group: Group215, Avg Grade: 0
Fullname: Rixomvnz Csnlykbrx, Faculty: School of Foreign Languages, Group: Group218, Avg Grade: 0
Fullname: Ztsbk Unepolbq, Faculty: School of Foreign Languages, Group: Group218, Avg Grade: 0
Fullname: Ozvqrscl Sgqnr, Faculty: Faculty of Social Sciences, Group: Group212, Avg Grade: 0
Fullname: Kzwcis Drcevigtyz, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group213, Avg Grade: 0
Fullname: Vazei Qovcaewdf, Faculty: Faculty of Biology and Biotechnology, Group: Group219, Avg Grade: 0
Fullname: Cjmuo Xzavirmytn, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group213, Avg Grade: 0
Fullname: Dqsieaf Rcdknpeh, Faculty: School of Foreign Languages, Group: Group217, Avg Grade: 0
Fullname: Vdfnu Dgqrtyflbo, Faculty: Graduate School of Business, Group: Group212, Avg Grade: 0
Fullname: Mualnfpq Irmqoeu, Faculty: Faculty of Economic Sciences, Group: Group218, Avg Grade: 0
Fullname: Ebtmnp Uvjownlds, Faculty: Faculty of Urban and Regional Development, Group: Group219, Avg Grade: 0
Fullname: Nxpabgekf Bcpws, Faculty: Faculty of Social Sciences, Group: Group217, Avg Grade: 0
Fullname: Lezxo Vbrhen, Faculty: International Institute of Economics and Finance, Group: Group217, Avg Grade: 0
Fullname: Qdkivruof Gimzwhed, Faculty: Faculty of Chemistry, Group: Group213, Avg Grade: 0
Fullname: Zceygjsup Fhiwtx, Faculty: Faculty of Humanities, Group: Group221, Avg Grade: 0
Fullname: Qfbitgokx Mzkjbpf, Faculty: Faculty of Urban and Regional Development, Group: Group213, Avg Grade: 0
Fullname: Qzehbxuok Nxzjarmyg, Faculty: Faculty of Law, Group: Group244, Avg Grade: 0
Fullname: Qeifscxyat Ulpdmqw, Faculty: Faculty of Geography and Geo-information Technology, Group: Group212, Avg Grade: 0
Fullname: Npwghldtz Vnuyrb, Faculty: Faculty of Economic Sciences, Group: Group212, Avg Grade: 0
Fullname: Gseonjkflw Huzonxkceq, Faculty: Faculty of Urban and Regional Development, Group: Group244, Avg Grade: 0
Fullname: Nawhdtm Trlfuswxqc, Faculty: Faculty of Physics, Group: Group217, Avg Grade: 0
Fullname: Uohbvswizk Vwkzt, Faculty: Faculty of Computer Science, Group: Group213, Avg Grade: 0
Fullname: Lzvifjt Xcwnrbzlo, Faculty: Faculty of Law, Group: Group215, Avg Grade: 0
Fullname: Udclgf Qyijtu, Faculty: Faculty of Social Sciences, Group: Group288, Avg Grade: 0
Fullname: Aieurf Bativdgokw, Faculty: Pre-university training faculty, Group: Group215, Avg Grade: 0
Fullname: Wvfri Ewyimqxlkc, Faculty: Higher School of Jurisprudence and Administration, Group: Group288, Avg Grade: 0
Fullname: Lobxvkzeiy Bnqkcfdap, Faculty: Faculty of Economic Sciences, Group: Group213, Avg Grade: 0
Fullname: Cxmvjaueh Lhbev, Faculty: Faculty of Social Sciences, Group: Group288, Avg Grade: 0
Fullname: Bixmpkl Rehado, Faculty: Faculty of Geography and Geo-information Technology, Group: Group217, Avg Grade: 0
Fullname: Vgkdrfzecu Fqobidsrgy, Faculty: Faculty of Social Sciences, Group: Group212, Avg Grade: 0
Fullname: Urtfpmnzjo Uaipxeh, Faculty: Faculty of Creative Industries, Group: Group221, Avg Grade: 0
Fullname: Iaerhuozml Ncadr, Faculty: Faculty of Law, Group: Group288, Avg Grade: 0
Fullname: Hrudpxjbc Candjp, Faculty: Faculty of Creative Industries, Group: Group244, Avg Grade: 0
Fullname: Lrkueghsiy Fsgnecyx, Faculty: Faculty of Chemistry, Group: Group233, Avg Grade: 0
Fullname: Knaombt Kpdilfmy, Faculty: Lyceum of HSE, Group: Group215, Avg Grade: 0
Fullname: Xmozqyvl Rnktmz, Faculty: Faculty of Mathematics, Group: Group219, Avg Grade: 0
Fullname: Icbjh Gtxwnc, Faculty: International Institute of Economics and Finance, Group: Group217, Avg Grade: 0
Fullname: Kfctxnyuze Yptgrswz, Faculty: Faculty of Computer Science, Group: Group219, Avg Grade: 0
Fullname: Dvjzaotre Kodpua, Faculty: Faculty of Humanities, Group: Group213, Avg Grade: 0
Fullname: Tlrjiczg Dyqsva, Faculty: Faculty of Physics, Group: Group215, Avg Grade: 0
Fullname: Mxyrpul Fmparqn, Faculty: Higher School of Jurisprudence and Administration, Group: Group288, Avg Grade: 0
Fullname: Gneium Qrvpnsawyo, Faculty: Pre-university training faculty, Group: Group213, Avg Grade: 0
Fullname: Dpibyzo Nmgvkay, Faculty: Faculty of Physics, Group: Group288, Avg Grade: 0
Fullname: Xhnjzfm Mekiglvqs, Faculty: Faculty of Social Sciences, Group: Group288, Avg Grade: 0
Fullname: Xcnqtv Gkbafpv, Faculty: Faculty of Mathematics, Group: Group212, Avg Grade: 0
Fullname: Tudhrjabfz Zlforvsjb, Faculty: Faculty of Social Sciences, Group: Group244, Avg Grade: 0
Fullname: Ydprcn Oivyxz, Faculty: Faculty of Physics, Group: Group233, Avg Grade: 0
Fullname: Ickntrhu Urwqcloi, Faculty: Faculty of Humanities, Group: Group219, Avg Grade: 0
Fullname: Cmibsagk Eojqi, Faculty: Faculty of Social Sciences, Group: Group244, Avg Grade: 0
Fullname: Jmpclnitwq Thdyzsmif, Faculty: Faculty of Urban and Regional Development, Group: Group218, Avg Grade: 0
Fullname: Haxtd Eouibqx, Faculty: Faculty of World Economy and World Politics, Group: Group219, Avg Grade: 0
Fullname: Ymjlq Xeyzsr, Faculty: Faculty of Urban and Regional Development, Group: Group244, Avg Grade: 0
Fullname: Erovgfy Fcomw, Faculty: Lyceum of HSE, Group: Group219, Avg Grade: 0
Fullname: Eoxvf Arljhqwuoi, Faculty: Graduate School of Business, Group: Group219, Avg Grade: 0
Fullname: Dgwzfpy Tmyerikn, Faculty: Faculty of Physics, Group: Group219, Avg Grade: 0
Fullname: Fxtlsphvj Gfvubrpd, Faculty: Faculty of World Economy and World Politics, Group: Group218, Avg Grade: 0
Fullname: Nlsyirqvt Lascgd, Faculty: Faculty of Social Sciences, Group: Group233, Avg Grade: 0
Fullname: Fjbtepa Jrfnuyk, Faculty: Faculty of Humanities, Group: Group219, Avg Grade: 0
Fullname: Yowmjdpbgf Jkzru, Faculty: Higher School of Jurisprudence and Administration, Group: Group213, Avg Grade: 0
Fullname: Jyevwcs Uymkwtc, Faculty: School of Foreign Languages, Group: Group212, Avg Grade: 0
Fullname: Puwali Hzvceg, Faculty: Faculty of Economic Sciences, Group: Group219, Avg Grade: 0
Fullname: Yvexkmutib Fuynkgjz, Faculty: School of Foreign Languages, Group: Group233, Avg Grade: 0
Fullname: Bqmtaiyjd Etrhxi, Faculty: Pre-university training faculty, Group: Group218, Avg Grade: 0
Fullname: Hgiqpmkfls Fojryqpmst, Faculty: Faculty of Economic Sciences, Group: Group288, Avg Grade: 0
Fullname: Apfdgexbz Vnhrfyi, Faculty: Faculty of Creative Industries, Group: Group288, Avg Grade: 0
Fullname: Ikxurbptj Isxqcu, Faculty: Graduate School of Business, Group: Group233, Avg Grade: 0
Fullname: Limjr Etkdlz, Faculty: Lyceum of HSE, Group: Group215, Avg Grade: 0
Fullname: Nlthjisp Iecmzotx, Faculty: Faculty of World Economy and World Politics, Group: Group233, Avg Grade: 0
Fullname: Zspuf Zvaiyob, Faculty: Faculty of Urban and Regional Development, Group: Group288, Avg Grade: 0
Fullname: Taojhmk Tzquoshvpc, Faculty: International Institute of Economics and Finance, Group: Group217, Avg Grade: 0
Fullname: Gxhotl Thwykp, Faculty: Lyceum of HSE, Group: Group215, Avg Grade: 0
Fullname: Jmiupf Iqmwob, Faculty: Faculty of Economic Sciences, Group: Group233, Avg Grade: 0
Fullname: Syrqoxkab Fkrucxynwl, Faculty: Faculty of Law, Group: Group244, Avg Grade: 0
Fullname: Uefwqo Mzsfagw, Faculty: Higher School of Jurisprudence and Administration, Group: Group213, Avg Grade: 0
Fullname: Nwmjqe Zlciusrvdy, Faculty: Faculty of Mathematics, Group: Group217, Avg Grade: 0
Fullname: Pclrbsnadw Fthpjsmcw, Faculty: Faculty of Urban and Regional Development, Group: Group244, Avg Grade: 0
Fullname: Jfcrpi Zoxpjfwitc, Faculty: International Institute of Economics and Finance, Group: Group219, Avg Grade: 0
Fullname: Yhoudwp Rcxaf, Faculty: Graduate School of Business, Group: Group218, Avg Grade: 0
Fullname: Stenq Alkgmhdbwu, Faculty: International Institute of Economics and Finance, Group: Group215, Avg Grade: 0
Fullname: Ytdua Bihktqvxa, Faculty: Faculty of Humanities, Group: Group218, Avg Grade: 0
Fullname: Rhtsj Juqdklhfv, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group217, Avg Grade: 0
Fullname: Yjsom Jncybved, Faculty: Faculty of Urban and Regional Development, Group: Group213, Avg Grade: 0
Fullname: Fhakngjblq Ykzrfb, Faculty: Faculty of World Economy and World Politics, Group: Group212, Avg Grade: 0
Fullname: Ndwetah Tmyjkswavq, Faculty: Faculty of Biology and Biotechnology, Group: Group215, Avg Grade: 0
Fullname: Lcskxo Jcheakmz, Faculty: Faculty of World Economy and World Politics, Group: Group215, Avg Grade: 0
Fullname: Hulomiyf Rftsdnz, Faculty: Lyceum of HSE, Group: Group221, Avg Grade: 0
Fullname: Ecdjkqa Hntrjld, Faculty: Faculty of World Economy and World Politics, Group: Group233, Avg Grade: 0
Fullname: Pzjvf Eyfzuvmc, Faculty: Faculty of Chemistry, Group: Group221, Avg Grade: 0
Fullname: Omjup Rmwnaoi, Faculty: School of Foreign Languages, Group: Group217, Avg Grade: 0
Fullname: Mkihxe Cuhdvnw, Faculty: Faculty of Humanities, Group: Group233, Avg Grade: 0
Fullname: Iwtou Lncxwdyob, Faculty: Faculty of World Economy and World Politics, Group: Group215, Avg Grade: 0
Fullname: Zxsltdjqi Hzybqkv, Faculty: School of Foreign Languages, Group: Group244, Avg Grade: 0
Fullname: Tzgikud Ucvqx, Faculty: School of Foreign Languages, Group: Group217, Avg Grade: 0
Fullname: Svielmdfza Owdijczp, Faculty: Higher School of Jurisprudence and Administration, Group: Group217, Avg Grade: 0
Fullname: Ybvsxz Wiumc, Faculty: Pre-university training faculty, Group: Group221, Avg Grade: 0
Fullname: Qiajvhydfz Fnivmtql, Faculty: Faculty of World Economy and World Politics, Group: Group233, Avg Grade: 0
Fullname: Jkyqfcp Xqlhjbezac, Faculty: International Institute of Economics and Finance, Group: Group233, Avg Grade: 0
