Fullname: Hlxwguebsc Nmlpvkaf, Faculty: Graduate School of Business, Group: Group288, Avg Grade: 0
Fullname: Pnvoh Jlifkdurs, Faculty: Faculty of World Economy and World Politics, Group: Group212, Avg Grade: 5
Fullname: Zpyxtahmow Bvsxy, Faculty: Faculty of Physics, Group: Group288, Avg Grade: 5
Fullname: Dvmahotpjq Xnrsilvtyd, Faculty: Faculty of Chemistry, Group: Group215, Avg Grade: 5
Fullname: Ngyfkpzoa Ihywe, Faculty: Faculty of Creative Industries, Group: Group219, Avg Grade: 5
Fullname: Ivsbe Djtgeu, Faculty: School of Foreign Languages, Group: Group215, Avg Grade: 5
Fullname: Fbvae Qzfbinej, Faculty: International Institute of Economics and Finance, Group: Group219, Avg Grade: 5
Fullname: Fhyuoknbpm Vnjhtpoyf, Faculty: Pre-university training faculty, Group: Group219, Avg Grade: 5
Fullname: Dgteu Ctzlq, Faculty: Faculty of Computer Science, Group: Group218, Avg Grade: 5
Fullname: Zwytfmnj Doskziqwe, Faculty: Faculty of Creative Industries, Group: Group244, Avg Grade: 5
Fullname: Lniprgdywk Zivmnadp, Faculty: Faculty of Creative Industries, Group: Group244, Avg Grade: 5
Fullname: Zsmxiyh Yokhsbdcwe, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 5
Fullname: Hcwifzg Bkxoylh, Faculty: Faculty of Physics, Group: Group288, Avg Grade: 6
Fullname: Tsmcfayd Hjklb, Faculty: Faculty of Biology and Biotechnology, Group: Group221, Avg Grade: 6
Fullname: Wtnloeq Msjir, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group233, Avg Grade: 6
Fullname: Eyctpogbl Rzxkh, Faculty: Faculty of Humanities, Group: Group213, Avg Grade: 6
Fullname: Xvewlfsm Jaguytv, Faculty: Faculty of Law, Group: Group233, Avg Grade: 6
Fullname: Clpzuobhsy Nxjbal, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 7
Fullname: Gfnebs Rjoebnkcw, Faculty: Faculty of Mathematics, Group: Group288, Avg Grade: 7
Fullname: Vzsxwlh Pjkscuavg, Faculty: Faculty of Chemistry, Group: Group221, Avg Grade: 7
Fullname: Ypdstzhqk Vdtoyrsjkc, Faculty: Graduate School of Business, Group: Group221, Avg Grade: 7
Fullname: Eniqld Qytvskz, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group288, Avg Grade: 7
Fullname: Cpgodwyue Vdlbzw, Faculty: Lyceum of HSE, Group: Group288, Avg Grade: 7
Fullname: Vfinresyca Clbkufsr, Faculty: Faculty of World Economy and World Politics, Group: Group212, Avg Grade: 7
Fullname: Ubethrvaf Dhjoifa, Faculty: Faculty of Economic Sciences, Group: Group217, Avg Grade: 7
Fullname: Fscgnajk Qhbkx, Faculty: Faculty of Social Sciences, Group: Group215, Avg Grade: 8
Fullname: Aujekb Knydvzsjx, Faculty: Faculty of Law, Group: Group218, Avg Grade: 8
Fullname: Codgmbltqv Vqwxrytdpg, Faculty: School of Foreign Languages, Group: Group212, Avg Grade: 8
Fullname: Xlanuys Kgsltm, Faculty: Faculty of Economic Sciences, Group: Group212, Avg Grade: 8
Fullname: Vwcqu Ncdshu, Faculty: Faculty of Urban and Regional Development, Group: Group244, Avg Grade: 8
Fullname: Dcxrbyau Wguyxrl, Faculty: Faculty of Biology and Biotechnology, Group: Group233, Avg Grade: 8
Fullname: Yhopv Ifzusoq, Faculty: Faculty of Mathematics, Group: Group212, Avg Grade: 8
Fullname: Vrbafzx Hzcepbxui, Faculty: Higher School of Jurisprudence and Administration, Group: Group212, Avg Grade: 8
Fullname: Bvpitwdxf Jorcsmitvn, Faculty: International Institute of Economics and Finance, Group: Group213, Avg Grade: 9
Fullname: Rdynzx Wknletyzm, Faculty: School of Foreign Languages, Group: Group233, Avg Grade: 9
Fullname: Bvsmydepug Xenrhudzfp, Faculty: Faculty of Biology and Biotechnology, Group: Group221, Avg Grade: 9
Fullname: Vztqiuwjl Aznogqck, Faculty: Faculty of Humanities, Group: Group218, Avg Grade: 9
Fullname: Fwhmn Suepgkadhv, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group215, Avg Grade: 9
Fullname: Leidjhy Qoptxknmli, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group221, Avg Grade: 9
Fullname: Ucdaspxz Rhijwtudps, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 10
Fullname: Ybtwps Qzbsruicdg, Faculty: Faculty of Chemistry, Group: Group218, Avg Grade: 10
Fullname: Tkwmv Jkusqodt, Faculty: Faculty of Computer Science, Group: Group233, Avg Grade: 10
Fullname: Yljisgft Fjoqn, Faculty: Faculty of Economic Sciences, Group: Group213, Avg Grade: 10
Fullname: Ajefwhud Spwucyqx, Faculty: Faculty of Physics, Group: Group212, Avg Grade: 10
Fullname: Mjluai Leancyz, Faculty: Graduate School of Business, Group: Group212, Avg Grade: 10
Fullname: Urbjn Zseqwurokf, Faculty: School of Foreign Languages, Group: Group217, Avg Grade: 10
Fullname: Wedoixnha Qpsyt, Faculty: Faculty of Economic Sciences, Group: Group244, Avg Grade: 10
