Fullname: Hlxwguebsc Nmlpvkaf, Faculty: Graduate School of Business, Group: Group288, Avg Grade: 0
Fullname: Srfomihe Gvlortpkbi, Faculty: Faculty of Computer Science, Group: Group218, Avg Grade: 0
Fullname: Ytjkvlmre Ozuvcij, Faculty: Faculty of Social Sciences, Group: Group288, Avg Grade: 0
Fullname: Ikbzne Xrsgnvipz, Faculty: Faculty of Law, Group: Group217, Avg Grade: 0
Fullname: Jelszy Ycjeid, Faculty: Faculty of Geography and Geo-information Technology, Group: Group213, Avg Grade: 0
Fullname: Wvkoqyu Flankdqe, Faculty: Faculty of Social Sciences, Group: Group212, Avg Grade: 0
Fullname: Rpsfymj Tyxkrvha, Faculty: Faculty of Computer Science, Group: Group215, Avg Grade: 0
Fullname: Gtjyehkpuw Blkgw, Faculty: Faculty of Computer Science, Group: Group213, Avg Grade: 0
Fullname: Kohziq Esdixrtk, Faculty: Faculty of Humanities, Group: Group244, Avg Grade: 0
Fullname: Mtbdfxvakc Qatzsoxhib, Faculty: Faculty of Urban and Regional Development, Group: Group288, Avg Grade: 0
Fullname: Anbzfylsk Bckqwifjyr, Faculty: Faculty of Creative Industries, Group: Group218, Avg Grade: 0
Fullname: Xkoifp Sbraihzkp, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 0
Fullname: Ejgrbcon Sbwmny, Faculty: Pre-university training faculty, Group: Group212, Avg Grade: 0
Fullname: Fajuimn Ynaxch, Faculty: Pre-university training faculty, Group: Group215, Avg Grade: 0
Fullname: Sqxorf Scerhz, Faculty: Faculty of World Economy and World Politics, Group: Group218, Avg Grade: 0
Fullname: Uqcky Uetmwp, Faculty: Faculty of Urban and Regional Development, Group: Group219, Avg Grade: 0
Fullname: Pyzgwuh Jmixsgqkp, Faculty: Faculty of Chemistry, Group: Group288, Avg Grade: 0
Fullname: Ljpmw Zuqrvhijeb, Faculty: Faculty of Mathematics, Group: Group213, Avg Grade: 0
Fullname: Qjtnymi Ogxmiely, Faculty: Faculty of Mathematics, Group: Group233, Avg Grade: 0
Fullname: Osabeclvg Bwuzasd, Faculty: Faculty of Social Sciences, Group: Group219, Avg Grade: 0
Fullname: Bpnjxyfa Zxvtsgihj, Faculty: School of Foreign Languages, Group: Group215, Avg Grade: 0
Fullname: Cokpy Nrlcvgpdtu, Faculty: Graduate School of Business, Group: Group217, Avg Grade: 0
Fullname: Hlsrkbfop Wqimbsaglt, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 1
Fullname: Zkamdclvh Hokcl, Faculty: Faculty of Urban and Regional Development, Group: Group218, Avg Grade: 1
Fullname: Zrtxagwpkq Wgyahfmd, Faculty: School of Foreign Languages, Group: Group212, Avg Grade: 1
Fullname: Lzjkbr Lsxdgm, Faculty: International Institute of Economics and Finance, Group: Group244, Avg Grade: 1
Fullname: Fdvozugbt Uiwthgl, Faculty: Faculty of Biology and Biotechnology, Group: Group215, Avg Grade: 1
Fullname: Rtpohlinj Ghufj, Faculty: Lyceum of HSE, Group: Group244, Avg Grade: 1
Fullname: Zdcbmwik Keqzm, Faculty: Faculty of Law, Group: Group212, Avg Grade: 1
Fullname: Keodcvghjs Yubrijfkmg, Faculty: Pre-university training faculty, Group: Group215, Avg Grade: 1
Fullname: Ztmuecpvh Nijtlv, Faculty: Lyceum of HSE, Group: Group244, Avg Grade: 1
Fullname: Gmobi Usbxndortm, Faculty: Higher School of Jurisprudence and Administration, Group: Group212, Avg Grade: 1
Fullname: Iberqmdzog Skpdo, Faculty: Faculty of Creative Industries, Group: Group233, Avg Grade: 1
Fullname: Mqrdcwybvk Itezlny, Faculty: Higher School of Jurisprudence and Administration, Group: Group233, Avg Grade: 1
Fullname: Eazqkoglhx Nevzqtopyx, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group218, Avg Grade: 1
Fullname: Myvwoqpgt Yfves, Faculty: Lyceum of HSE, Group: Group215, Avg Grade: 1
Fullname: Dyjves Ysnkclza, Faculty: Faculty of Creative Industries, Group: Group233, Avg Grade: 1
Fullname: Zwpecv Ekhrqop, Faculty: Graduate School of Business, Group: Group219, Avg Grade: 1
Fullname: Nguezc Fnogz, Faculty: Faculty of Humanities, Group: Group212, Avg Grade: 1
Fullname: Nexfzt Lkwqrh, Faculty: Pre-university training faculty, Group: Group213, Avg Grade: 1
Fullname: Enajbghpxl Gpkwu, Faculty: Faculty of Economic Sciences, Group: Group217, Avg Grade: 1
Fullname: Lreybwuzmj Gqmcxtyeai, Faculty: School of Foreign Languages, Group: Group288, Avg Grade: 1
Fullname: Bzmnwv Xnmsuybtp, Faculty: Faculty of Law, Group: Group213, Avg Grade: 1
Fullname: Hxvmto Hscqol, Faculty: Higher School of Jurisprudence and Administration, Group: Group233, Avg Grade: 1
Fullname: Jrhfldu Qvfzpaxg, Faculty: Faculty of Law, Group: Group218, Avg Grade: 1
Fullname: Fgqsayxdr Lujcna, Faculty: Higher School of Jurisprudence and Administration, Group: Group212, Avg Grade: 1
Fullname: Lmnyhkup Kaxbz, Faculty: Faculty of Geography and Geo-information Technology, Group: Group218, Avg Grade: 1
Fullname: Njcdwvam Azbkrpxi, Faculty: Faculty of Law, Group: Group212, Avg Grade: 1
Fullname: Bgzwnyf Hlcxidmb, Faculty: Faculty of Economic Sciences, Group: Group244, Avg Grade: 1
Fullname: Khvoib Fxzlcygd, Faculty: International Institute of Economics and Finance, Group: Group213, Avg Grade: 1
Fullname: Qboselrjd Bepcl, Faculty: Pre-university training faculty, Group: Group244, Avg Grade: 1
Fullname: Tmqpowk Cetywh, Faculty: Faculty of Geography and Geo-information Technology, Group: Group244, Avg Grade: 1
Fullname: Eyjpalgvm Akvti, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group219, Avg Grade: 1
Fullname: Zdwnbejxku Yawtvxnmhb, Faculty: Faculty of Mathematics, Group: Group221, Avg Grade: 1
Fullname: Etivxd Dfcyo, Faculty: Faculty of Humanities, Group: Group217, Avg Grade: 1
Fullname: Prvhuqew Jmauldis, Faculty: Faculty of World Economy and World Politics, Group: Group212, Avg Grade: 1
Fullname: Tfbzjevpin Kmfcvsdzu, Faculty: Lyceum of HSE, Group: Group218, Avg Grade: 1
Fullname: Bhsyxqevnj Wlqftxhnu, Faculty: Lyceum of HSE, Group: Group244, Avg Grade: 1
Fullname: Awhtecz Fqmho, Faculty: Faculty of Economic Sciences, Group: Group221, Avg Grade: 1
Fullname: Mzsdu Ubdlrzc, Faculty: Faculty of Mathematics, Group: Group221, Avg Grade: 1
Fullname: Lkciqf Mjvqizuwyr, Faculty: Faculty of Geography and Geo-information Technology, Group: Group215, Avg Grade: 1
Fullname: Dxgvaur Cjsovu, Faculty: Lyceum of HSE, Group: Group244, Avg Grade: 1
Fullname: Jzdwrhtkv Modypcqf, Faculty: Faculty of Economic Sciences, Group: Group212, Avg Grade: 1
Fullname: Qhwogf Oxjintzdlu, Faculty: International Institute of Economics and Finance, Group: Group213, Avg Grade: 1
Fullname: Gfnvoi Bovxnl, Faculty: Faculty of Mathematics, Group: Group218, Avg Grade: 1
Fullname: Tybunfa Krtlfum, Faculty: Faculty of Mathematics, Group: Group221, Avg Grade: 1
Fullname: Rvtokewf Equbin, Faculty: Faculty of Creative Industries, Group: Group221, Avg Grade: 1
Fullname: Nzxosmlc Bxzrletgna, Faculty: Lyceum of HSE, Group: Group221, Avg Grade: 1
Fullname: Nhdwvcutsb Sjxgphwd, Faculty: Faculty of Creative Industries, Group: Group233, Avg Grade: 1
Fullname: Zdhpvlujf Omhrfzc, Faculty: Faculty of Biology and Biotechnology, Group: Group244, Avg Grade: 1
Fullname: Wdxnkig Ojybq, Faculty: Faculty of Economic Sciences, Group: Group219, Avg Grade: 1
Fullname: Rlnhy Cxnteuyvjd, Faculty: Faculty of Urban and Regional Development, Group: Group215, Avg Grade: 1
Fullname: Aslfcqn Gwmyacid, Faculty: Faculty of Social Sciences, Group: Group212, Avg Grade: 1
Fullname: Gyodm Xfvoi, Faculty: Faculty of Mathematics, Group: Group217, Avg Grade: 1
Fullname: Oqbnc Rdxpc, Faculty: Faculty of Social Sciences, Group: Group219, Avg Grade: 1
Fullname: Xzcdjsuv Sfmluoin, Faculty: Graduate School of Business, Group: Group244, Avg Grade: 1
Fullname: Mxzyfpivg Xdpbyac, Faculty: Lyceum of HSE, Group: Group221, Avg Grade: 1
Fullname: Nsckwlmdgx Uheinfb, Faculty: Higher School of Jurisprudence and Administration, Group: Group217, Avg Grade: 1
Fullname: Khugd Atsmukcyb, Faculty: International Institute of Economics and Finance, Group: Group218, Avg Grade: 1
Fullname: Asdeq Ehxagtzrd, Faculty: Faculty of Computer Science, Group: Group218, Avg Grade: 1
Fullname: Mcxeyrziq Smipowef, Faculty: International Institute of Economics and Finance, Group: Group221, Avg Grade: 1
Fullname: Upfnzkga Vfgdkpl, Faculty: Faculty of Mathematics, Group: Group221, Avg Grade: 1
Fullname: Aqpytcl Futygc, Faculty: Faculty of Law, Group: Group217, Avg Grade: 1
Fullname: Ohxyflnmt Haqtwnv, Faculty: Graduate School of Business, Group: Group213, Avg Grade: 1
Fullname: Jmzfvx Ijncey, Faculty: School of Foreign Languages, Group: Group213, Avg Grade: 1
Fullname: Zwfydkxp Nifgh, Faculty: Faculty of Geography and Geo-information Technology, Group: Group244, Avg Grade: 1
Fullname: Mbldeytpc Iuvlm, Faculty: Faculty of Biology and Biotechnology, Group: Group215, Avg Grade: 1
Fullname: Ladrojpmeg Ezqlgodc, Faculty: Faculty of Economic Sciences, Group: Group212, Avg Grade: 1
Fullname: Lcaigf Pmtaoidxs, Faculty: Graduate School of Business, Group: Group217, Avg Grade: 1
Fullname: Yulatrkzxp Ekoijzgq, Faculty: Graduate School of Business, Group: Group217, Avg Grade: 1
Fullname: Qtikcbvp Fuykq, Faculty: Faculty of Computer Science, Group: Group217, Avg Grade: 1
Fullname: Nompr Qxzerutfsy, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 1
Fullname: Idofhjtxs Tmfswgdxrp, Faculty: School of Foreign Languages, Group: Group244, Avg Grade: 1
Fullname: Ybdkphov Xsnlva, Faculty: Faculty of Creative Industries, Group: Group233, Avg Grade: 1
Fullname: Edkamzybro Xznmctsfu, Faculty: Pre-university training faculty, Group: Group218, Avg Grade: 1
Fullname: Xyvcbpioum Wicfrktqum, Faculty: Faculty of Mathematics, Group: Group218, Avg Grade: 1
Fullname: Fwnlvpmgis Ykohfzsbl, Faculty: International Institute of Economics and Finance, Group: Group213, Avg Grade: 1
Fullname: Fsmocjpr Mihnwuxvc, Faculty: Faculty of Law, Group: Group219, Avg Grade: 1
Fullname: Qysnbikfac Xqyno, Faculty: School of Foreign Languages, Group: Group288, Avg Grade: 1
Fullname: Hjqdxinmz Pxdrty, Faculty: Lyceum of HSE, Group: Group221, Avg Grade: 1
Fullname: Qzntjlpuo Vqdjtkwxf, Faculty: Faculty of Humanities, Group: Group212, Avg Grade: 1
Fullname: Dwemkgc Kyrewd, Faculty: Faculty of Humanities, Group: Group221, Avg Grade: 1
Fullname: Zohpb Hevgnm, Faculty: Lyceum of HSE, Group: Group218, Avg Grade: 1
Fullname: Yegfk Sgqxbhzco, Faculty: Faculty of Social Sciences, Group: Group217, Avg Grade: 1
Fullname: Ysxipa Mwfxtag, Faculty: Faculty of Biology and Biotechnology, Group: Group213, Avg Grade: 1
Fullname: Ijuoklac Sziqrxn, Faculty: Faculty of Mathematics, Group: Group219, Avg Grade: 1
Fullname: Hruak Ombunzfpw, Faculty: Faculty of Economic Sciences, Group: Group217, Avg Grade: 1
Fullname: Cueisqlntj Zfmbd, Faculty: Faculty of Urban and Regional Development, Group: Group213, Avg Grade: 1
Fullname: Gnvti Fxeusvk, Faculty: Faculty of World Economy and World Politics, Group: Group213, Avg Grade: 1
Fullname: Aelhpvyd Xkzhvj, Faculty: Pre-university training faculty, Group: Group219, Avg Grade: 1
Fullname: Amzfhspnyx Opfzyc, Faculty: Faculty of Mathematics, Group: Group217, Avg Grade: 1
Fullname: Gayoqjnve Skfxgwcm, Faculty: Faculty of Social Sciences, Group: Group213, Avg Grade: 1
Fullname: Tukzqgrb Pkhiqe, Faculty: School of Foreign Languages, Group: Group212, Avg Grade: 1
Fullname: Izngr Hdbucznx, Faculty: Faculty of Social Sciences, Group: Group219, Avg Grade: 1
Fullname: Ogikjdr Zwfalouce, Faculty: Faculty of Creative Industries, Group: Group221, Avg Grade: 1
Fullname: Gwmkejhisl Cxmel, Faculty: Lyceum of HSE, Group: Group233, Avg Grade: 1
Fullname: Wxjvsiytp Ktrghpsjdi, Faculty: Higher School of Jurisprudence and Administration, Group: Group213, Avg Grade: 1
Fullname: Tsjfb Qvcam, Faculty: Faculty of Physics, Group: Group233, Avg Grade: 1
Fullname: Vhorcdqw Fmgnv, Faculty: Graduate School of Business, Group: Group213, Avg Grade: 1
Fullname: Kqybr Afxmscohv, Faculty: Faculty of World Economy and World Politics, Group: Group215, Avg Grade: 1
Fullname: Amgekljfz Zkxefo, Faculty: Graduate School of Business, Group: Group213, Avg Grade: 2
Fullname: Yprvfhjuzq Lbowcmku, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 2
Fullname: Xocgkvupb Okxthf, Faculty: Faculty of Geography and Geo-information Technology, Group: Group218, Avg Grade: 2
Fullname: Timrlawfnj Hfspuv, Faculty: Lyceum of HSE, Group: Group244, Avg Grade: 2
Fullname: Yefkvlin Ixlce, Faculty: Faculty of Law, Group: Group217, Avg Grade: 2
Fullname: Xhvkwtdcpm Cjnza, Faculty: Faculty of Social Sciences, Group: Group212, Avg Grade: 2
Fullname: Cxdsp Gxpqjcru, Faculty: Faculty of Economic Sciences, Group: Group218, Avg Grade: 2
Fullname: Enfhcdjosg Eqmspctf, Faculty: Faculty of Urban and Regional Development, Group: Group221, Avg Grade: 2
Fullname: Dkcjieowg Qmyslzxneo, Faculty: School of Foreign Languages, Group: Group212, Avg Grade: 2
Fullname: Mycogenwbt Jqsog, Faculty: Higher School of Jurisprudence and Administration, Group: Group218, Avg Grade: 2
Fullname: Klamj Garuexts, Faculty: Faculty of Humanities, Group: Group218, Avg Grade: 2
Fullname: Zfcdhkyjwl Nojyb, Faculty: International Institute of Economics and Finance, Group: Group219, Avg Grade: 2
Fullname: Pysvd Sypnakufi, Faculty: Pre-university training faculty, Group: Group215, Avg Grade: 2
Fullname: Fjgheyd Yvixtwbso, Faculty: Faculty of Economic Sciences, Group: Group217, Avg Grade: 2
Fullname: Dfxnjuvcyw Ycbgrxkve, Faculty: School of Foreign Languages, Group: Group218, Avg Grade: 2
Fullname: Yktmuvn Uhvzda, Faculty: Faculty of Creative Industries, Group: Group215, Avg Grade: 2
Fullname: Xzehi Shyrutzdci, Faculty: Faculty of Economic Sciences, Group: Group213, Avg Grade: 2
Fullname: Zfqsgld Sxfvudwr, Faculty: Faculty of Social Sciences, Group: Group212, Avg Grade: 2
Fullname: Ckjpowxiue Nsgzyvdqj, Faculty: Faculty of Social Sciences, Group: Group213, Avg Grade: 2
Fullname: Qhnmjsxld Lgwzhuixn, Faculty: Faculty of Computer Science, Group: Group288, Avg Grade: 2
Fullname: Vomutde Ylagpnis, Faculty: Pre-university training faculty, Group: Group213, Avg Grade: 2
Fullname: Rzicn Dxmifben, Faculty: Graduate School of Business, Group: Group218, Avg Grade: 2
Fullname: Zbuqnkmd Jgwucs, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group215, Avg Grade: 2
Fullname: Wqcapdh Vmydqh, Faculty: Faculty of Computer Science, Group: Group233, Avg Grade: 2
Fullname: Ijpadfctg Jmkxqszy, Faculty: Faculty of Computer Science, Group: Group219, Avg Grade: 2
Fullname: Mrsjcwdg Awgbszjoi, Faculty: Faculty of Urban and Regional Development, Group: Group215, Avg Grade: 2
Fullname: Xtfupndb Ldceuhimas, Faculty: Faculty of Mathematics, Group: Group212, Avg Grade: 2
Fullname: Xpcbguwn Oatgvphyc, Faculty: Faculty of Humanities, Group: Group218, Avg Grade: 2
Fullname: Ngzrsewx Yhgvm, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group213, Avg Grade: 2
Fullname: Cagtpmieoq Sbzha, Faculty: Faculty of Mathematics, Group: Group218, Avg Grade: 2
Fullname: Ulkrscm Nytcz, Faculty: Faculty of Chemistry, Group: Group233, Avg Grade: 2
Fullname: Cqflumwt Saicnhegvx, Faculty: Faculty of Economic Sciences, Group: Group244, Avg Grade: 2
Fullname: Vsfqxlmitn Gydaek, Faculty: Faculty of World Economy and World Politics, Group: Group221, Avg Grade: 2
Fullname: Wbsuflqv Bzrcnfgxj, Faculty: Higher School of Jurisprudence and Administration, Group: Group218, Avg Grade: 2
Fullname: Eawsjlx Vunqmxl, Faculty: Faculty of Physics, Group: Group213, Avg Grade: 2
Fullname: Gqmfn Plxnurqzi, Faculty: Faculty of Creative Industries, Group: Group219, Avg Grade: 2
Fullname: Gmqkj Igadqj, Faculty: Faculty of Chemistry, Group: Group215, Avg Grade: 2
Fullname: Otzhjycnd Gbefzdsi, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 2
Fullname: Pufeacq Sjhtrnyfa, Faculty: Faculty of Social Sciences, Group: Group219, Avg Grade: 2
Fullname: Fwgqmv Iryjvf, Faculty: Faculty of Law, Group: Group288, Avg Grade: 2
Fullname: Jkhfvqb Qfopmrlesw, Faculty: Faculty of Biology and Biotechnology, Group: Group244, Avg Grade: 2
Fullname: Krgzue Ucdkzpmaw, Faculty: Faculty of Creative Industries, Group: Group219, Avg Grade: 2
Fullname: Ljrczbuk Mhcspgane, Faculty: Faculty of Urban and Regional Development, Group: Group219, Avg Grade: 2
Fullname: Nmikfj Oqhvt, Faculty: Faculty of Physics, Group: Group218, Avg Grade: 2
Fullname: Nfqylm Mwdroye, Faculty: Faculty of Chemistry, Group: Group233, Avg Grade: 2
Fullname: Zewra Xbdzci, Faculty: International Institute of Economics and Finance, Group: Group221, Avg Grade: 2
Fullname: Cdfto Lvsenpoa, Faculty: Faculty of Computer Science, Group: Group218, Avg Grade: 2
Fullname: Pfyrkzdc Sahipygoz, Faculty: Faculty of Biology and Biotechnology, Group: Group213, Avg Grade: 2
Fullname: Zoepjhl Tvobmuyp, Faculty: Faculty of Economic Sciences, Group: Group219, Avg Grade: 2
Fullname: Osecyvdl Jkbvfdzhp, Faculty: Faculty of Economic Sciences, Group: Group215, Avg Grade: 2
Fullname: Ilcysmakqw Mgfvish, Faculty: Higher School of Jurisprudence and Administration, Group: Group215, Avg Grade: 2
Fullname: Xoldsvarc Aomhkc, Faculty: Higher School of Jurisprudence and Administration, Group: Group218, Avg Grade: 2
Fullname: Dleywsit Ucixkemg, Faculty: International Institute of Economics and Finance, Group: Group217, Avg Grade: 2
Fullname: Borlu Cxlsg, Faculty: Faculty of Urban and Regional Development, Group: Group212, Avg Grade: 2
Fullname: Aweyz Pcdsguieo, Faculty: Faculty of Computer Science, Group: Group233, Avg Grade: 2
Fullname: Ycbhmovt Rqnfamjhde, Faculty: Faculty of Creative Industries, Group: Group244, Avg Grade: 2
Fullname: Loinvt Cyfso, Faculty: Higher School of Jurisprudence and Administration, Group: Group215, Avg Grade: 2
Fullname: Songrhfzc Hwxfpok, Faculty: Pre-university training faculty, Group: Group219, Avg Grade: 2
Fullname: Ozjubshx Ynxcopwrlq, Faculty: Faculty of Urban and Regional Development, Group: Group217, Avg Grade: 2
Fullname: Bjkadp Qejbd, Faculty: Pre-university training faculty, Group: Group288, Avg Grade: 2
Fullname: Qcgzvp Ceywl, Faculty: International Institute of Economics and Finance, Group: Group217, Avg Grade: 2
Fullname: Lxozjr Eiowfhcb, Faculty: Faculty of Biology and Biotechnology, Group: Group212, Avg Grade: 2
Fullname: Iyktdb Jlhykfqo, Faculty: Pre-university training faculty, Group: Group219, Avg Grade: 2
Fullname: Ladnjgmcz Sdqka, Faculty: Faculty of Computer Science, Group: Group244, Avg Grade: 2
Fullname: Bcdysftkzr Tekpjl, Faculty: Faculty of Biology and Biotechnology, Group: Group233, Avg Grade: 2
Fullname: Ljpicmkodg Tkxveaybjc, Faculty: Faculty of Economic Sciences, Group: Group244, Avg Grade: 2
Fullname: Lqfkpimrg Zomedfgta, Faculty: Faculty of Creative Industries, Group: Group213, Avg Grade: 2
Fullname: Yufsizvmbn Qujrasvpz, Faculty: Faculty of Computer Science, Group: Group217, Avg Grade: 2
Fullname: Gvrbmflxs Logdsuj, Faculty: Faculty of Geography and Geo-information Technology, Group: Group219, Avg Grade: 2
Fullname: Kvjqcbsp Ftqdao, Faculty: Faculty of Law, Group: Group213, Avg Grade: 2
Fullname: Viyejk Gxdyjikr, Faculty: Faculty of Urban and Regional Development, Group: Group221, Avg Grade: 2
Fullname: Wknmlghs Gsjkytu, Faculty: Faculty of Humanities, Group: Group217, Avg Grade: 2
Fullname: Zevqphnstm Agnqpkly, Faculty: International Institute of Economics and Finance, Group: Group218, Avg Grade: 2
Fullname: Uiarvf Higjm, Faculty: Faculty of Creative Industries, Group: Group212, Avg Grade: 2
Fullname: Lpjfc Rukqsbwm, Faculty: School of Foreign Languages, Group: Group221, Avg Grade: 2
Fullname: Ulqgfhijc Hpmjfgat, Faculty: Faculty of Social Sciences, Group: Group215, Avg Grade: 2
Fullname: Kdbvnyhj Xeajvyniq, Faculty: Faculty of World Economy and World Politics, Group: Group218, Avg Grade: 2
Fullname: Wzjrpufs Wrfla, Faculty: Faculty of Law, Group: Group244, Avg Grade: 2
Fullname: Dnhkisby Zxufqncbmt, Faculty: Faculty of World Economy and World Politics, Group: Group212, Avg Grade: 2
Fullname: Fxmrqab Zckpid, Faculty: Pre-university training faculty, Group: Group217, Avg Grade: 2
Fullname: Ljhmzuqaeb Zclkbn, Faculty: Pre-university training faculty, Group: Group219, Avg Grade: 2
Fullname: Mzvuhjlq Mdrcpov, Faculty: Faculty of Urban and Regional Development, Group: Group288, Avg Grade: 2
