Fullname: Hlxwguebsc Nmlpvkaf, Faculty: Graduate School of Business, Group: Group288, Avg Grade: 0
Fullname: Lreybwuzmj Gqmcxtyeai, Faculty: School of Foreign Languages, Group: Group288, Avg Grade: 1
Fullname: Bzmnwv Xnmsuybtp, Faculty: Faculty of Law, Group: Group213, Avg Grade: 1
Fullname: Hxvmto Hscqol, Faculty: Higher School of Jurisprudence and Administration, Group: Group233, Avg Grade: 1
Fullname: Jrhfldu Qvfzpaxg, Faculty: Faculty of Law, Group: Group218, Avg Grade: 1
Fullname: Fgqsayxdr Lujcna, Faculty: Higher School of Jurisprudence and Administration, Group: Group212, Avg Grade: 1
Fullname: Lmnyhkup Kaxbz, Faculty: Faculty of Geography and Geo-information Technology, Group: Group218, Avg Grade: 1
Fullname: Njcdwvam Azbkrpxi, Faculty: Faculty of Law, Group: Group212, Avg Grade: 1
Fullname: Bgzwnyf Hlcxidmb, Faculty: Faculty of Economic Sciences, Group: Group244, Avg Grade: 1
Fullname: Khvoib Fxzlcygd, Faculty: International Institute of Economics and Finance, Group: Group213, Avg Grade: 1
Fullname: Qboselrjd Bepcl, Faculty: Pre-university training faculty, Group: Group244, Avg Grade: 1
Fullname: Gvrbmflxs Logdsuj, Faculty: Faculty of Geography and Geo-information Technology, Group: Group219, Avg Grade: 2
Fullname: Uiarvf Higjm, Faculty: Faculty of Creative Industries, Group: Group212, Avg Grade: 2
Fullname: Fsljmnik Dfxeosjzk, Faculty: Graduate School of Business, Group: Group288, Avg Grade: 2
Fullname: Btrycoix Pfngdz, Faculty: Faculty of Biology and Biotechnology, Group: Group212, Avg Grade: 2
Fullname: Songrhfzc Hwxfpok, Faculty: Pre-university training faculty, Group: Group219, Avg Grade: 2
Fullname: Dkcjieowg Qmyslzxneo, Faculty: School of Foreign Languages, Group: Group212, Avg Grade: 2
Fullname: Cagtpmieoq Sbzha, Faculty: Faculty of Mathematics, Group: Group218, Avg Grade: 2
Fullname: Ulkrscm Nytcz, Faculty: Faculty of Chemistry, Group: Group233, Avg Grade: 2
Fullname: Vsfqxlmitn Gydaek, Faculty: Faculty of World Economy and World Politics, Group: Group221, Avg Grade: 2
Fullname: Zoepjhl Tvobmuyp, Faculty: Faculty of Economic Sciences, Group: Group219, Avg Grade: 2
Fullname: Aweyz Pcdsguieo, Faculty: Faculty of Computer Science, Group: Group233, Avg Grade: 2
Fullname: Lpjfc Rukqsbwm, Faculty: School of Foreign Languages, Group: Group221, Avg Grade: 2
Fullname: Amgekljfz Zkxefo, Faculty: Graduate School of Business, Group: Group213, Avg Grade: 2
Fullname: Yprvfhjuzq Lbowcmku, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 2
Fullname: Xocgkvupb Okxthf, Faculty: Faculty of Geography and Geo-information Technology, Group: Group218, Avg Grade: 2
Fullname: Timrlawfnj Hfspuv, Faculty: Lyceum of HSE, Group: Group244, Avg Grade: 2
Fullname: Yefkvlin Ixlce, Faculty: Faculty of Law, Group: Group217, Avg Grade: 2
Fullname: Xhvkwtdcpm Cjnza, Faculty: Faculty of Social Sciences, Group: Group212, Avg Grade: 2
Fullname: Cxdsp Gxpqjcru, Faculty: Faculty of Economic Sciences, Group: Group218, Avg Grade: 2
Fullname: Enfhcdjosg Eqmspctf, Faculty: Faculty of Urban and Regional Development, Group: Group221, Avg Grade: 2
Fullname: Zewra Xbdzci, Faculty: International Institute of Economics and Finance, Group: Group221, Avg Grade: 2
Fullname: Mycogenwbt Jqsog, Faculty: Higher School of Jurisprudence and Administration, Group: Group218, Avg Grade: 2
Fullname: Klamj Garuexts, Faculty: Faculty of Humanities, Group: Group218, Avg Grade: 2
Fullname: Zfcdhkyjwl Nojyb, Faculty: International Institute of Economics and Finance, Group: Group219, Avg Grade: 2
Fullname: Pysvd Sypnakufi, Faculty: Pre-university training faculty, Group: Group215, Avg Grade: 2
Fullname: Fjgheyd Yvixtwbso, Faculty: Faculty of Economic Sciences, Group: Group217, Avg Grade: 2
Fullname: Dfxnjuvcyw Ycbgrxkve, Faculty: School of Foreign Languages, Group: Group218, Avg Grade: 2
Fullname: Lxozjr Eiowfhcb, Faculty: Faculty of Biology and Biotechnology, Group: Group212, Avg Grade: 2
Fullname: Gnbdkqjzeh Dqzot, Faculty: Faculty of Physics, Group: Group213, Avg Grade: 3
Fullname: Ecztlfi Casdkzthmx, Faculty: Faculty of Economic Sciences, Group: Group213, Avg Grade: 3
Fullname: Njvmefbai Qcdigrym, Faculty: Lyceum of HSE, Group: Group233, Avg Grade: 3
Fullname: Lwyixon Aqswg, Faculty: Graduate School of Business, Group: Group221, Avg Grade: 3
Fullname: Fimbx Qemfcinwj, Faculty: School of Foreign Languages, Group: Group217, Avg Grade: 3
Fullname: Xwyum Skqyv, Faculty: Faculty of Law, Group: Group244, Avg Grade: 3
Fullname: Jvqazd Vqzstwfimr, Faculty: Faculty of Humanities, Group: Group217, Avg Grade: 3
Fullname: Qaxjdz Hqkwac, Faculty: Faculty of Mathematics, Group: Group244, Avg Grade: 3
Fullname: Jdxshgnwmt Iswovhd, Faculty: Faculty of Creative Industries, Group: Group244, Avg Grade: 3
Fullname: Yuqerk Fotje, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group221, Avg Grade: 3
Fullname: Ysqvknh Febjxzsylu, Faculty: Faculty of Biology and Biotechnology, Group: Group233, Avg Grade: 3
Fullname: Lykeu Stxucekwl, Faculty: Faculty of Physics, Group: Group217, Avg Grade: 3
Fullname: Bledmkux Npcjskry, Faculty: Faculty of Humanities, Group: Group233, Avg Grade: 3
Fullname: Sgicx Klzya, Faculty: Faculty of World Economy and World Politics, Group: Group213, Avg Grade: 3
Fullname: Yaqdc Behijz, Faculty: Faculty of Law, Group: Group217, Avg Grade: 3
Fullname: Kohsmgpb Itpdck, Faculty: International Institute of Economics and Finance, Group: Group233, Avg Grade: 3
Fullname: Mtsgdieklb Vqzwug, Faculty: International Institute of Economics and Finance, Group: Group217, Avg Grade: 3
Fullname: Pfcxyev Eytvljw, Faculty: Faculty of Geography and Geo-information Technology, Group: Group244, Avg Grade: 3
Fullname: Hiltvngsd Okyltwnhf, Faculty: Faculty of Computer Science, Group: Group218, Avg Grade: 3
Fullname: Ebzkq Nvpwjs, Faculty: Higher School of Jurisprudence and Administration, Group: Group218, Avg Grade: 3
Fullname: Uqdjscgvol Inkghzudex, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group218, Avg Grade: 3
Fullname: Ywejgxrcfa Kerfyujaxp, Faculty: Pre-university training faculty, Group: Group217, Avg Grade: 3
Fullname: Jehzuwi Pjhzqru, Faculty: Pre-university training faculty, Group: Group217, Avg Grade: 3
Fullname: Lryniuwe Aqltmsknr, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 4
Fullname: Osvkx Ekywtmifx, Faculty: Faculty of Physics, Group: Group217, Avg Grade: 4
Fullname: Lgyndhrza Soltp, Faculty: Faculty of Physics, Group: Group215, Avg Grade: 4
Fullname: Rjefockmz Drpiwh, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group288, Avg Grade: 4
Fullname: Fyozs Ujbofxwzld, Faculty: Faculty of Physics, Group: Group233, Avg Grade: 4
Fullname: Whyfc Qbdzuev, Faculty: Faculty of Law, Group: Group212, Avg Grade: 4
Fullname: Lxacowk Dgialqtrv, Faculty: Faculty of Mathematics, Group: Group218, Avg Grade: 4
Fullname: Xkjvyodwr Axwhfmnzku, Faculty: Faculty of Creative Industries, Group: Group212, Avg Grade: 4
Fullname: Zevdtrwy Ciaofwqrp, Faculty: Faculty of Chemistry, Group: Group213, Avg Grade: 4
Fullname: Rwfcmy Huipeflta, Faculty: Lyceum of HSE, Group: Group288, Avg Grade: 4
Fullname: Hbalods Sgpvzux, Faculty: Faculty of Biology and Biotechnology, Group: Group233, Avg Grade: 4
Fullname: Daoks Ivobwj, Faculty: School of Foreign Languages, Group: Group233, Avg Grade: 4
Fullname: Ergblf Jwrifvtsc, Faculty: Faculty of Physics, Group: Group215, Avg Grade: 4
Fullname: Rdieqwcat Pzdoktevls, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 4
Fullname: Nkzvul Cxdwiz, Faculty: Faculty of Humanities, Group: Group213, Avg Grade: 4
Fullname: Nhrslatz Axiutvrkw, Faculty: Faculty of Mathematics, Group: Group233, Avg Grade: 4
Fullname: Nbqozi Mhygfb, Faculty: Lyceum of HSE, Group: Group217, Avg Grade: 4
Fullname: Nfmckv Myltxvs, Faculty: Higher School of Jurisprudence and Administration, Group: Group218, Avg Grade: 4
Fullname: Rqbyftovpu Sbqgv, Faculty: International Institute of Economics and Finance, Group: Group215, Avg Grade: 4
Fullname: Pdjqafl Iepzg, Faculty: Faculty of World Economy and World Politics, Group: Group244, Avg Grade: 4
Fullname: Gkrujvqpt Kmgov, Faculty: School of Foreign Languages, Group: Group215, Avg Grade: 4
Fullname: Efixkp Frmbicpja, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group221, Avg Grade: 4
Fullname: Xqzcfumrek Qdmvz, Faculty: Pre-university training faculty, Group: Group215, Avg Grade: 4
Fullname: Dczek Xmcgbrjtw, Faculty: Faculty of Biology and Biotechnology, Group: Group221, Avg Grade: 5
Fullname: Ivsbe Djtgeu, Faculty: School of Foreign Languages, Group: Group215, Avg Grade: 5
Fullname: Lhetuzjc Agrwkmcq, Faculty: Faculty of World Economy and World Politics, Group: Group218, Avg Grade: 5
Fullname: Dvmahotpjq Xnrsilvtyd, Faculty: Faculty of Chemistry, Group: Group215, Avg Grade: 5
Fullname: Zpyxtahmow Bvsxy, Faculty: Faculty of Physics, Group: Group288, Avg Grade: 5
Fullname: Fbvae Qzfbinej, Faculty: International Institute of Economics and Finance, Group: Group219, Avg Grade: 5
Fullname: Njydga Mvgbwd, Faculty: Lyceum of HSE, Group: Group233, Avg Grade: 5
Fullname: Ngyfkpzoa Ihywe, Faculty: Faculty of Creative Industries, Group: Group219, Avg Grade: 5
Fullname: Rpndbyiwvx Dziwgr, Faculty: Faculty of Urban and Regional Development, Group: Group221, Avg Grade: 5
Fullname: Wclyaobsr Cglofxmp, Faculty: Faculty of Urban and Regional Development, Group: Group244, Avg Grade: 5
Fullname: Yfoqlb Qwmpysgi, Faculty: Higher School of Jurisprudence and Administration, Group: Group213, Avg Grade: 5
Fullname: Lvbgo Mvzgxfk, Faculty: Faculty of Physics, Group: Group244, Avg Grade: 5
Fullname: Fhyuoknbpm Vnjhtpoyf, Faculty: Pre-university training faculty, Group: Group219, Avg Grade: 5
Fullname: Eybhdr Egbijzamod, Faculty: Faculty of Physics, Group: Group215, Avg Grade: 5
Fullname: Lieduogcnf Lpetxqc, Faculty: Faculty of Computer Science, Group: Group244, Avg Grade: 5
Fullname: Lniprgdywk Zivmnadp, Faculty: Faculty of Creative Industries, Group: Group244, Avg Grade: 5
Fullname: Zsmxiyh Yokhsbdcwe, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 5
Fullname: Skjcr Qemjsl, Faculty: Faculty of Social Sciences, Group: Group215, Avg Grade: 5
Fullname: Hzpqf Zpbakx, Faculty: Lyceum of HSE, Group: Group221, Avg Grade: 5
Fullname: Bnrxeilaph Gbval, Faculty: Pre-university training faculty, Group: Group221, Avg Grade: 5
Fullname: Sqrkh Zecldb, Faculty: Faculty of Economic Sciences, Group: Group244, Avg Grade: 5
Fullname: Gvqszeayl Ptlvcb, Faculty: Lyceum of HSE, Group: Group212, Avg Grade: 5
Fullname: Eqjxu Luibxzwaj, Faculty: Higher School of Jurisprudence and Administration, Group: Group213, Avg Grade: 5
Fullname: Dgteu Ctzlq, Faculty: Faculty of Computer Science, Group: Group218, Avg Grade: 5
Fullname: Xbdrlz Vskjxflwco, Faculty: Lyceum of HSE, Group: Group288, Avg Grade: 5
Fullname: Pnvoh Jlifkdurs, Faculty: Faculty of World Economy and World Politics, Group: Group212, Avg Grade: 5
Fullname: Xfjla Xtrgmfkj, Faculty: Faculty of Law, Group: Group217, Avg Grade: 5
Fullname: Ubnmkqt Roqudvahji, Faculty: School of Foreign Languages, Group: Group217, Avg Grade: 5
Fullname: Xgwimprnaq Cgkyt, Faculty: Faculty of Law, Group: Group212, Avg Grade: 5
Fullname: Enrtbzcgmo Gpufvkxq, Faculty: International Institute of Economics and Finance, Group: Group212, Avg Grade: 5
Fullname: Vkdteuz Doytn, Faculty: Faculty of Urban and Regional Development, Group: Group215, Avg Grade: 5
Fullname: Qgmcdozn Ytowsvk, Faculty: Faculty of Geography and Geo-information Technology, Group: Group233, Avg Grade: 5
Fullname: Petzquf Vkncfwlya, Faculty: Pre-university training faculty, Group: Group233, Avg Grade: 5
Fullname: Nkmbwop Petrc, Faculty: Faculty of Computer Science, Group: Group219, Avg Grade: 5
Fullname: Zwytfmnj Doskziqwe, Faculty: Faculty of Creative Industries, Group: Group244, Avg Grade: 5
Fullname: Ktwpreb Kpuqlmw, Faculty: Faculty of Chemistry, Group: Group288, Avg Grade: 5
Fullname: Fwdsh Agdhoq, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 6
Fullname: Pmrcqtfxbw Yoibzr, Faculty: Faculty of Chemistry, Group: Group221, Avg Grade: 6
Fullname: Zovrt Dprfgaw, Faculty: Faculty of Chemistry, Group: Group217, Avg Grade: 6
Fullname: Ghyor Qvwcxr, Faculty: Faculty of World Economy and World Politics, Group: Group217, Avg Grade: 6
Fullname: Xvewlfsm Jaguytv, Faculty: Faculty of Law, Group: Group233, Avg Grade: 6
Fullname: Bsvjydqnl Oqkwbf, Faculty: International Institute of Economics and Finance, Group: Group244, Avg Grade: 6
Fullname: Eyctpogbl Rzxkh, Faculty: Faculty of Humanities, Group: Group213, Avg Grade: 6
Fullname: Elkzpjai Ykxfh, Faculty: Faculty of Creative Industries, Group: Group219, Avg Grade: 6
Fullname: Kxfiotqvu Pftgcldv, Faculty: Pre-university training faculty, Group: Group233, Avg Grade: 6
Fullname: Mkqhbuel Lqmkxzdhot, Faculty: Faculty of Chemistry, Group: Group219, Avg Grade: 6
Fullname: Hupsxbndfj Znwjbupdry, Faculty: Lyceum of HSE, Group: Group221, Avg Grade: 6
Fullname: Kveoznp Snzbquohd, Faculty: Pre-university training faculty, Group: Group219, Avg Grade: 6
Fullname: Tsmcfayd Hjklb, Faculty: Faculty of Biology and Biotechnology, Group: Group221, Avg Grade: 6
Fullname: Yxhpzrf Iotaysxcgz, Faculty: Faculty of Economic Sciences, Group: Group219, Avg Grade: 6
Fullname: Hcwifzg Bkxoylh, Faculty: Faculty of Physics, Group: Group288, Avg Grade: 6
Fullname: Wtlmjka Esmdi, Faculty: Faculty of Creative Industries, Group: Group233, Avg Grade: 6
Fullname: Wtnloeq Msjir, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group233, Avg Grade: 6
Fullname: Fvjbin Wugjovmk, Faculty: Graduate School of Business, Group: Group213, Avg Grade: 6
Fullname: Xphnmftvw Dwcykpf, Faculty: Faculty of Creative Industries, Group: Group218, Avg Grade: 6
Fullname: Vdgfo Mywqnhku, Faculty: Faculty of Physics, Group: Group233, Avg Grade: 6
Fullname: Ghenayjdvz Bclrpxgu, Faculty: Faculty of Mathematics, Group: Group218, Avg Grade: 6
Fullname: Lsvaupdei Fbwumsevd, Faculty: School of Foreign Languages, Group: Group212, Avg Grade: 6
Fullname: Orhduc Uwtvoei, Faculty: Lyceum of HSE, Group: Group212, Avg Grade: 6
Fullname: Jvztqf Ezwhsbfvu, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 6
Fullname: Gtljcnsaz Xnfzijdms, Faculty: Lyceum of HSE, Group: Group288, Avg Grade: 6
Fullname: Zacryfq Ewxjb, Faculty: Faculty of Computer Science, Group: Group221, Avg Grade: 6
Fullname: Chyrsbqkm Keytzxljo, Faculty: Faculty of Biology and Biotechnology, Group: Group215, Avg Grade: 6
Fullname: Pjladzfhq Zewakoh, Faculty: School of Foreign Languages, Group: Group213, Avg Grade: 7
Fullname: Jmckp Tmupxgocke, Faculty: Faculty of Law, Group: Group288, Avg Grade: 7
Fullname: Kwfthjgsc Qslyrk, Faculty: Pre-university training faculty, Group: Group213, Avg Grade: 7
Fullname: Wkuxzp Bpcxothrlk, Faculty: Faculty of Biology and Biotechnology, Group: Group221, Avg Grade: 7
Fullname: Gfnebs Rjoebnkcw, Faculty: Faculty of Mathematics, Group: Group288, Avg Grade: 7
Fullname: Jyqognc Deyuxzn, Faculty: Faculty of Social Sciences, Group: Group218, Avg Grade: 7
Fullname: Ubethrvaf Dhjoifa, Faculty: Faculty of Economic Sciences, Group: Group217, Avg Grade: 7
Fullname: Vmyaqdcj Iylwruvc, Faculty: Faculty of Geography and Geo-information Technology, Group: Group215, Avg Grade: 7
Fullname: Hwymkzpd Hpcvyq, Faculty: Faculty of Chemistry, Group: Group288, Avg Grade: 7
Fullname: Veuzgcydi Fvtdplh, Faculty: Faculty of Law, Group: Group213, Avg Grade: 7
Fullname: Clpzuobhsy Nxjbal, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 7
Fullname: Eniqld Qytvskz, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group288, Avg Grade: 7
Fullname: Vzsxwlh Pjkscuavg, Faculty: Faculty of Chemistry, Group: Group221, Avg Grade: 7
Fullname: Slqyuw Dcptor, Faculty: Faculty of Mathematics, Group: Group219, Avg Grade: 7
Fullname: Cpgodwyue Vdlbzw, Faculty: Lyceum of HSE, Group: Group288, Avg Grade: 7
Fullname: Qbaeywzj Dhnpotiyvz, Faculty: Faculty of Physics, Group: Group219, Avg Grade: 7
Fullname: Qnsiuwrhf Gdfxzc, Faculty: Lyceum of HSE, Group: Group221, Avg Grade: 7
Fullname: Mrfxlebqwo Bczdxh, Faculty: Pre-university training faculty, Group: Group244, Avg Grade: 7
Fullname: Qakld Ewksfombp, Faculty: International Institute of Economics and Finance, Group: Group215, Avg Grade: 7
Fullname: Bjptm Nwzbympvkc, Faculty: Faculty of Computer Science, Group: Group212, Avg Grade: 7
Fullname: Cpgqzjrfy Yrwkcv, Faculty: Faculty of Computer Science, Group: Group244, Avg Grade: 7
Fullname: Mbkcqigy Yhagwdxzl, Faculty: Faculty of Biology and Biotechnology, Group: Group221, Avg Grade: 7
Fullname: Usvtn Qxrym, Faculty: Faculty of Law, Group: Group288, Avg Grade: 7
Fullname: Buvprlgyh Txloduec, Faculty: School of Foreign Languages, Group: Group215, Avg Grade: 7
Fullname: Grjtkxcfwe Aokgqcezb, Faculty: Faculty of Geography and Geo-information Technology, Group: Group213, Avg Grade: 7
Fullname: Vfinresyca Clbkufsr, Faculty: Faculty of World Economy and World Politics, Group: Group212, Avg Grade: 7
Fullname: Ypdstzhqk Vdtoyrsjkc, Faculty: Graduate School of Business, Group: Group221, Avg Grade: 7
Fullname: Fkyldtugpn Yngxjka, Faculty: Faculty of Social Sciences, Group: Group219, Avg Grade: 8
Fullname: Wbojpkqgu Zhagfowpr, Faculty: Higher School of Jurisprudence and Administration, Group: Group218, Avg Grade: 8
Fullname: Fscgnajk Qhbkx, Faculty: Faculty of Social Sciences, Group: Group215, Avg Grade: 8
Fullname: Rmpnsbd Iuowbtqf, Faculty: Faculty of Humanities, Group: Group213, Avg Grade: 8
Fullname: Twahb Uzgwodsvh, Faculty: International Institute of Economics and Finance, Group: Group218, Avg Grade: 8
Fullname: Itwpdc Azkfbso, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group218, Avg Grade: 8
Fullname: Vwcqu Ncdshu, Faculty: Faculty of Urban and Regional Development, Group: Group244, Avg Grade: 8
Fullname: Dcxrbyau Wguyxrl, Faculty: Faculty of Biology and Biotechnology, Group: Group233, Avg Grade: 8
Fullname: Fsrovdgjh Ugfmno, Faculty: Graduate School of Business, Group: Group244, Avg Grade: 8
Fullname: Yhopv Ifzusoq, Faculty: Faculty of Mathematics, Group: Group212, Avg Grade: 8
Fullname: Qlwbg Zbknowgms, Faculty: Faculty of Physics, Group: Group288, Avg Grade: 8
Fullname: Tsgflbza Dykit, Faculty: Pre-university training faculty, Group: Group215, Avg Grade: 8
Fullname: Ynxecvilbo Vblpiazr, Faculty: Faculty of Chemistry, Group: Group215, Avg Grade: 8
Fullname: Eajbt Rdmhu, Faculty: Faculty of Chemistry, Group: Group217, Avg Grade: 8
Fullname: Vrbafzx Hzcepbxui, Faculty: Higher School of Jurisprudence and Administration, Group: Group212, Avg Grade: 8
Fullname: Xlanuys Kgsltm, Faculty: Faculty of Economic Sciences, Group: Group212, Avg Grade: 8
Fullname: Tmybu Kfwhjv, Faculty: Pre-university training faculty, Group: Group288, Avg Grade: 8
Fullname: Rezkwyl Tvzsudcmqn, Faculty: Faculty of Creative Industries, Group: Group219, Avg Grade: 8
Fullname: Codgmbltqv Vqwxrytdpg, Faculty: School of Foreign Languages, Group: Group212, Avg Grade: 8
Fullname: Fwpdxmuirj Fxnykhmotj, Faculty: Graduate School of Business, Group: Group212, Avg Grade: 8
Fullname: Wjirya Fvigntpubh, Faculty: Higher School of Jurisprudence and Administration, Group: Group217, Avg Grade: 8
Fullname: Cswuo Ovkgalhn, Faculty: Faculty of Creative Industries, Group: Group218, Avg Grade: 8
Fullname: Iywlhz Nhdcga, Faculty: Faculty of Social Sciences, Group: Group217, Avg Grade: 8
Fullname: Aujekb Knydvzsjx, Faculty: Faculty of Law, Group: Group218, Avg Grade: 8
Fullname: Uzcefblpv Twgfoab, Faculty: Faculty of World Economy and World Politics, Group: Group288, Avg Grade: 8
Fullname: Zwcyebl Rbevoipcql, Faculty: Faculty of Humanities, Group: Group212, Avg Grade: 9
Fullname: Bvpitwdxf Jorcsmitvn, Faculty: International Institute of Economics and Finance, Group: Group213, Avg Grade: 9
Fullname: Saxgefqwod Uliad, Faculty: Faculty of Physics, Group: Group212, Avg Grade: 9
Fullname: Tozhucgwv Vizmof, Faculty: Higher School of Jurisprudence and Administration, Group: Group288, Avg Grade: 9
